index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
6.206308039,13.18483527,1.078174899,5.301835406,64.57373766,-0.117418074,3.255695025,65.50242267,-0.262522846,X
6.223355581,13.13539607,1.077720396,5.316313181,64.33483684,-0.117389825,3.264723582,65.25746499,-0.262443224,X
6.241605499,13.19458123,1.077386685,5.331913859,64.62461845,-0.117374968,3.274432956,65.54945977,-0.262390394,X
6.258187579,13.24757482,1.077092347,5.346152459,64.88223792,-0.117363035,3.283295491,65.80931342,-0.262344273,X
6.273867069,13.29634872,1.076814523,5.359628324,65.11944526,-0.117352818,3.291691452,66.04858952,-0.262302333,X
6.296116281,13.3070313,1.076689643,5.378687249,65.17178795,-0.117359846,3.303522566,66.10034184,-0.262299877,X
6.317100627,13.31666887,1.07657074,5.396660688,65.21921484,-0.117367175,3.314697607,66.14693707,-0.262299572,X
6.336264792,13.32589329,1.076461765,5.413081573,65.26439937,-0.117374531,3.324927861,66.19102657,-0.262301565,X
6.352302229,13.35802188,1.076356344,5.42683745,65.42124124,-0.117381688,3.333535614,66.34797199,-0.262305285,X
6.367199732,13.39004733,1.076258995,5.439633725,65.57653632,-0.117389389,3.341566469,66.50303178,-0.262311702,X
6.381020948,13.42273247,1.076167368,5.451521174,65.73403201,-0.117397968,3.349045287,66.66009909,-0.262320576,X
6.393884915,13.4577602,1.076080862,5.462609047,65.90130671,-0.117408157,3.356033669,66.82699065,-0.262331858,X
6.405843406,13.49625457,1.075998859,5.472947785,66.08354884,-0.117420325,3.362559515,67.00904264,-0.262345726,X
6.417010853,13.53988814,1.075917977,5.48263065,66.28864369,-0.117435015,3.368668214,67.21445999,-0.26236196,X
6.427208471,13.58845197,1.075838414,5.491502445,66.51570789,-0.11745251,3.374230551,67.44309878,-0.262378583,X
6.436799109,13.64536741,1.075756123,5.499888087,66.78044342,-0.117474496,3.379452808,67.71085295,-0.262396899,X
6.444268968,13.70298223,1.075690719,5.506488196,67.04593878,-0.117502435,3.383526688,67.9804619,-0.262420219,X
6.450867993,13.76635295,1.075628519,5.512386834,67.33561136,-0.11753757,3.387074029,68.27670169,-0.262445412,X
6.456573427,13.83551754,1.075563663,5.517536088,67.65169113,-0.117575682,3.390081417,68.60144786,-0.262468119,X
6.452748382,13.93931909,1.07574825,5.51455096,68.13365209,-0.117646794,3.388023363,69.09571417,-0.262553261,X
6.449037591,14.04280341,1.075914348,5.51158623,68.61496824,-0.117711285,3.385994559,69.58832306,-0.262630936,X
6.440622824,14.1287527,1.076199621,5.504539174,69.01186852,-0.117785193,3.381478876,69.99441595,-0.262735966,X
6.431074832,14.3056197,1.076490079,5.496476766,69.85450344,-0.117855285,3.376362652,70.85180906,-0.262839531,X
6.422103677,14.47661599,1.076759303,5.488872393,70.66936514,-0.117920372,3.371543195,71.68047306,-0.262936589,X
6.4122811,14.927242,1.077267108,5.480516466,72.8498363,-0.118009328,3.366277512,73.89382067,-0.263091023,X
6.396892393,15.50404721,1.077916477,5.467375094,75.64597363,-0.118113168,3.358087149,76.73121723,-0.263281175,X
6.361194298,16.48745336,1.078833281,5.43684453,80.42486007,-0.118247709,3.339230651,81.57933769,-0.263540235,X
6.17028116,19.68373,1.083123482,5.273662515,95.99749479,-0.118752833,3.238932939,97.37622827,-0.264623729,X
6.054827289,24.98092681,1.086346713,5.174997995,121.8118465,-0.119142692,3.178267876,123.5632241,-0.265445238,X
5.946935957,30.5222869,1.089091488,5.08281946,148.8112619,-0.119480704,3.121592301,150.9544766,-0.266146907,X
5.896824463,35.36639511,1.090317994,5.04005548,172.4044897,-0.119654205,3.095266612,174.8932164,-0.266475774,X
