thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,lable
6.515336175,-3.647909175,0.775045237,2.063669569,-4.610103338,-0.050654335,1.122547726,-4.948158814,-0.193323229,A
6.507225247,-3.642916182,0.77500509,2.060923114,-4.604470802,-0.050662699,1.121398095,-4.941449689,-0.193213952,A
6.502088834,-3.639767027,0.774976207,2.059198272,-4.600890732,-0.05066837,1.120661491,-4.937211395,-0.193146077,A
6.494865678,-3.635368415,0.774927865,2.056808746,-4.595834398,-0.050675454,1.119609598,-4.931290385,-0.193053651,A
6.488569414,-3.631379281,0.774893577,2.054745337,-4.591270089,-0.050683289,1.118724947,-4.925919287,-0.19296084,A
6.483395515,-3.624858972,0.774776489,2.053089369,-4.583449397,-0.050682557,1.118045534,-4.917097206,-0.192844071,A
6.491289378,-3.61780245,0.774398034,2.055627595,-4.574910829,-0.050659301,1.119649155,-4.907539334,-0.192655855,A
6.500302013,-3.612730383,0.774061595,2.058566906,-4.568891759,-0.050633445,1.121472698,-4.900718297,-0.192469356,A
6.510330263,-3.606838534,0.77374895,2.061916802,-4.562114616,-0.050597708,1.123563428,-4.893074319,-0.192242085,A
6.51648828,-3.604177513,0.773584827,2.063966218,-4.559129504,-0.050576727,1.124797412,-4.889728667,-0.192125212,A
6.524031777,-3.601277709,0.77336138,2.066449644,-4.555782282,-0.050552093,1.126234421,-4.886052543,-0.192007145,A
6.533061289,-3.599823267,0.77313764,2.069410019,-4.554226512,-0.050527067,1.127909112,-4.884342297,-0.191895909,A
6.539739183,-3.601821879,0.773046816,2.071617909,-4.556950171,-0.050512502,1.129150358,-4.887252844,-0.19183148,A
6.546379,-3.604676788,0.772953905,2.07379929,-4.560716914,-0.050499117,1.130364685,-4.89130098,-0.191775261,A
6.551997177,-3.608160607,0.772883463,2.075614228,-4.565322074,-0.050488727,1.131370611,-4.896245764,-0.191732443,A
6.557775687,-3.611781829,0.772811937,2.077446342,-4.570169906,-0.05047877,1.132386041,-4.901442891,-0.191691044,A
6.563177512,-3.615103532,0.772753333,2.079128981,-4.574694959,-0.05047025,1.133320152,-4.906287699,-0.191654592,A
6.568390781,-3.6182538,0.772704397,2.080726403,-4.579056568,-0.050462753,1.13420914,-4.91094773,-0.191621089,A
6.573297868,-3.622019592,0.772657507,2.082210349,-4.584220383,-0.050455881,1.135036028,-4.916460965,-0.191589371,A
6.577592142,-3.625878501,0.772600428,2.083484204,-4.589541796,-0.050448682,1.135751327,-4.922136467,-0.191554931,A
6.581468061,-3.629800403,0.772533014,2.084611661,-4.594966077,-0.050441034,1.136386703,-4.92791956,-0.191517842,A
6.585231703,-3.633967838,0.772471354,2.085694925,-4.600711546,-0.050434079,1.136996285,-4.934042275,-0.191482804,A
6.588825745,-3.637908911,0.772417755,2.086716599,-4.606179925,-0.050427905,1.137577794,-4.939859478,-0.191448671,A
6.592229879,-3.641612962,0.772371856,2.087671265,-4.611360134,-0.050422509,1.138122611,-4.945361227,-0.19141653,A
6.595538439,-3.645159583,0.772332885,2.088584791,-4.61636781,-0.050417778,1.138640293,-4.950685243,-0.191386361,A
6.599025788,-3.648751126,0.772306924,2.089510941,-4.621577544,-0.050413987,1.139163996,-4.956219249,-0.191355487,A
6.601069657,-3.650909955,0.772287522,2.090060868,-4.624664917,-0.050411722,1.139471534,-4.959501258,-0.191337881,A
6.604287541,-3.654414237,0.77225166,2.090936366,-4.629605966,-0.050408162,1.139955043,-4.964768284,-0.191311026,A
6.606922084,-3.657153876,0.772236327,2.091622117,-4.633585714,-0.050406211,1.140331536,-4.969006037,-0.19128989,A
6.632304877,-3.652886454,0.771457306,2.099519749,-4.628649712,-0.050353951,1.144639749,-4.963691076,-0.191080767,A
6.668236627,-3.655651247,0.770247244,2.110782492,-4.632539127,-0.050273705,1.150783244,-4.967840928,-0.190768153,A
